,PGA,RuBP,fRB,fP,fZ,alphar,PSIId,fR,PR,Cc,Ccyt,Ci,Ca,H2OS,gsw,sumA
68.0,9.352021086975393e-06,7.226980422311651e-05,0.5759730286427217,0.7147629109408122,0.11869400003904391,0.9762383618970673,0.9999975492374402,0.34756253790165453,0.00010426857148578972,0.00019618499788067673,0.00023553266526442443,0.00024600027624107056,0.0003769302630167057,0.015613484788204967,0.09436150311769714,0.0
69.0,9.155250615189933e-06,7.237615694135783e-05,0.579323269742501,0.7198917729255235,0.12032482145988145,0.9759108633262686,0.9999975471729015,0.35164700606324106,0.00010607435953132301,0.00019571582473920613,0.00023524026263405286,0.0002457349661924205,0.0003769196384439437,0.015613867499521369,0.09442315378170503,0.0
70.0,8.969771230380933e-06,7.247642068456969e-05,0.5826406877447599,0.7249250151056434,0.12195253542238295,0.9755839733366432,0.9999975451165274,0.35570590414640324,0.00010786513989375494,0.00019525537899616217,0.00023495464612153784,0.00024547598506811653,0.0003769093787240862,0.015614252363319214,0.09448473420400189,0.0
71.0,8.794502539574242e-06,7.257117785750999e-05,0.5859256042187241,0.7298644112634838,0.12357714797035797,0.9752576907972861,0.9999975430682597,0.35973939222604007,0.00010964099187684138,0.0001948034061941501,0.00023467560149637416,0.000245223131495199,0.00037689945121499536,0.015614639008899926,0.09454624446461739,0.0
72.0,8.628714374217615e-06,7.26608212574444e-05,0.5891783376914553,0.7347117053032999,0.12519866532447124,0.974932014579322,0.99999754102804,0.36374762940937183,0.00011140199661422123,0.00019435967628589335,0.00023440293107487763,0.0002449762189440696,0.00037688982727507493,0.015615027116422533,0.0946076846434933,0.0
73.0,8.471435122989657e-06,7.27458748514018e-05,0.5923992037930026,0.739468609622643,0.12681709354117168,0.9746069435558232,0.9999975389958095,0.3677307738787954,0.00011314823686616489,0.00019392395587263282,0.00023413643958339965,0.00024473506420182105,0.00037688048156223986,0.015615416407925648,0.09466905482048668,0.0
74.0,8.321919113803953e-06,7.28267405084209e-05,0.5955885150947031,0.7441368063986588,0.12843243878215213,0.9742824766019349,0.999997536971508,0.3716889828370115,0.00011487979711074074,0.0001934960302333539,0.00023387594546441269,0.00024449949657837566,0.0003768713918315572,0.015615806644619224,0.09473035507536468,0.0
75.0,8.179576628319028e-06,7.290373598301501e-05,0.5987465800821968,0.7487179365686325,0.13004470726517156,0.9739586125955686,0.9999975349550762,0.37562241217836495,0.00011659676400781606,0.00019307570173846043,0.00023362128143685385,0.00024426935881336745,0.00037686254004385534,0.015616197640864447,0.09479158548777404,0.0
76.0,8.043907262117544e-06,7.297713092024324e-05,0.6018737045808115,0.7532136149369193,0.1316539052380244,0.9736353504164842,0.9999975329464567,0.3795312169354035,0.0001182992252289865,0.00019266278145144323,0.00023337228814141356,0.0002440445011803259,0.0003768539096404304,0.015616589229165234,0.09485274613728124,0.0
77.0,7.91438691661666e-06,7.304720789735853e-05,0.604970191692664,0.7576254290574267,0.1332600389126288,0.9733126889463457,0.9999975309455947,0.38341555125609844,0.00011998726910625886,0.00019225708510197626,0.00023312881359048595,0.00024382478148970264,0.0003768454855230871,0.015616981259616348,0.09491383710336969,0.0
